text,label
The city council approved the new park project.,real
Scientists discovered a cure for the common cold.,fake
Local school wins state science competition.,real
Celebrity announces plan to move to Mars next year.,fake
Government announces new tax relief package.,real
Study shows eating vegetables improves health.,real
Alien spacecraft sighted over downtown area.,fake
New smartphone model sells out in first hour.,real
The government announced a new infrastructure development project.,real
A new metro station was opened to improve public transportation.,real
Researchers developed an affordable water purification system.,real
The education ministry launched a digital learning initiative.,real
Scientists discovered a new marine species during an expedition.,real
The weather department issued a rainfall advisory for coastal areas.,real
A state government approved funding for rural healthcare centers.,real
Electric vehicle sales increased significantly this year.,real
A university inaugurated a new research and innovation center.,real
Farmers adopted modern irrigation methods to improve productivity.,real
The city council approved plans for a new public park.,real
A vaccination awareness campaign was launched nationwide.,real
The transport department introduced additional bus services.,real
Researchers published findings on renewable energy efficiency.,real
A bridge construction project was completed ahead of schedule.,real
Local schools organized a science exhibition for students.,real
The health ministry released updated public health guidelines.,real
A new library was opened to serve the local community.,real
Scientists reported progress in climate change research.,real
The government announced scholarships for higher education students.,real
A technology company launched a new smartphone model.,real
The airport authority expanded passenger facilities.,real
A national conference on sustainable development was held.,real
Researchers developed improved battery storage technology.,real
The municipal corporation upgraded the city's water supply system.,real
A new sports complex was inaugurated in the district.,real
The agriculture department introduced crop support programs.,real
Scientists conducted successful tests of a communication system.,real
A railway modernization project received government approval.,real
Public hospitals adopted digital record management systems.,real
A new highway project is expected to reduce travel time.,real
Researchers studied the impact of pollution on urban areas.,real
The government increased funding for scientific research.,real
A community health center expanded its services.,real
The city launched a waste management improvement initiative.,real
A national skill development program was introduced.,real
The energy department announced solar power expansion plans.,real
A new public transportation route was introduced.,real
Researchers reported advances in agricultural technology.,real
The tourism department launched a heritage promotion campaign.,real
Local authorities completed flood prevention measures.,real
The government introduced incentives for electric vehicles.,real
A new hospital wing was opened for patient care.,real
Scientists published a study on biodiversity conservation.,real
The education board revised the academic curriculum.,real
The city administration planted thousands of trees.,real
Researchers developed tools for environmental monitoring.,real
The housing department approved affordable housing projects.,real
A public awareness campaign focused on road safety.,real
The telecommunications sector expanded internet connectivity.,real
Aliens officially opened an embassy on Earth.,fake
Scientists confirmed humans can live without sleep forever.,fake
The moon was discovered to be made entirely of gold.,fake
A secret pill makes people invisible instantly.,fake
Cars can now run forever without fuel or energy.,fake
The government will give one crore rupees to every citizen tomorrow.,fake
Dinosaurs were discovered living in a hidden jungle.,fake
A mobile app predicts lottery numbers with 100 percent accuracy.,fake
Time travel machines are available for public purchase.,fake
Drinking only water cures every disease.,fake
Scientists found a tree that grows smartphones.,fake
People can learn any language in one hour using a secret method.,fake
The Earth will stop rotating for five minutes next month.,fake
A company created a machine that prints unlimited legal money.,fake
Flying cars are now available free of cost worldwide.,fake
Aliens purchased several countries through a secret agreement.,fake
Eating chocolate daily makes people invisible.,fake
The sun will not rise for three days next year.,fake
A student completed a medical degree in one day.,fake
Scientists discovered a portal to another dimension in a city park.,fake
Pets can now speak fluent human languages.,fake
The government announced free luxury mansions for everyone.,fake
A watch can predict the future with complete accuracy.,fake
A hidden civilization was found living inside the moon.,fake
People can become immortal by drinking a special juice.,fake
Researchers created shoes that allow people to fly.,fake
All examinations worldwide have been permanently canceled.,fake
A secret island contains dragons living among humans.,fake
Scientists confirmed clouds are made of cotton.,fake
A phone application can read minds remotely.,fake
A machine can instantly transport people anywhere on Earth.,fake
The ocean was found to contain unlimited diamonds.,fake
A city replaced all roads with gold pavement.,fake
A pill allows people to breathe underwater indefinitely.,fake
Scientists discovered unicorns in a remote forest.,fake
The government declared every day a national holiday.,fake
A robot was elected president of a country.,fake
People can survive without food for ten years.,fake
The moon is actually an artificial spacecraft.,fake
Researchers built a ladder connecting Earth to space.,fake
A secret device controls the weather worldwide.,fake
Humans can now communicate directly with animals.,fake
Scientists found evidence that trees can walk.,fake
A company sells bottled air from Mars.,fake
A new technology allows teleportation without equipment.,fake
Aliens started operating public transportation services.,fake
Researchers created a machine that reverses aging instantly.,fake
A hidden city was discovered beneath the clouds.,fake
People can become invisible by wearing special socks.,fake
The Earth's core is made entirely of diamonds.,fake
The government launched a new digital governance initiative.,real
Researchers developed a more efficient solar energy system.,real
A new railway corridor was inaugurated to improve connectivity.,real
The health department expanded vaccination services in rural areas.,real
Scientists published a study on climate change impacts.,real
A state government announced scholarships for college students.,real
The city introduced electric buses to reduce pollution.,real
A public hospital opened a new emergency care unit.,real
Researchers developed a low-cost diagnostic testing method.,real
The meteorological department forecast heavy rainfall this week.,real
A university established a center for artificial intelligence research.,real
The government approved funding for highway development projects.,real
Local authorities launched a river cleanup campaign.,real
A technology company introduced a new cybersecurity solution.,real
Farmers adopted precision agriculture techniques to improve yields.,real
A new airport terminal was opened to increase passenger capacity.,real
Scientists reported advances in battery storage technology.,real
The education board introduced updated examination guidelines.,real
A housing project was launched for low-income families.,real
The transport department expanded metro services across the city.,real
